Direccion,Numero,Activo,Bicis_disponibles,Espacios_libres,Espacios_totales,ticket,fecha_actualizacion,geo_shape,geo_point_2d,distritos
Salamanca - Reina Doña Germana,155,T,5,14,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3630783484267159, 39.46495329574819], ""type"": ""Point""}","39.46495329574819, -0.3630783484267159",l'Eixample
Monduber - Peset Aleixandre,174,T,3,16,19,T,16/06/2023 16:09:04,"{""coordinates"": [-0.38664740957644866, 39.489438388167024], ""type"": ""Point""}","39.489438388167024, -0.38664740957644866",Benicalap
Hospital Nueva Fe (consultas externas),188,T,20,20,40,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3751583239336074, 39.44462122517277], ""type"": ""Point""}","39.44462122517277, -0.3751583239336074",Quatre Carreres
Juan XXIII - Domingo Gómez,175,T,10,5,15,T,16/06/2023 16:09:04,"{""coordinates"": [-0.38271239433339566, 39.49258939642365], ""type"": ""Point""}","39.49258939642365, -0.38271239433339566",Rascanya
Ramón Llull - Serpis,102,T,7,13,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.346720283882565, 39.47583332394092], ""type"": ""Point""}","39.47583332394092, -0.346720283882565",Algiros
Albalat dels Tarongers - Paseo Facultades,104,T,18,2,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3472752845405608, 39.478386332978474], ""type"": ""Point""}","39.478386332978474, -0.3472752845405608",Algiros
Gregorio Gea - Padre Ferris,141,T,8,12,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3851564091174212, 39.483268367245344], ""type"": ""Point""}","39.483268367245344, -0.3851564091174212",Campanar
Economista Gay - Luis Crumiere,137,T,6,14,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3798963873712934, 39.48903338344832], ""type"": ""Point""}","39.48903338344832, -0.3798963873712934",La Saidia
Reus - Alquería de la Estrella,139,T,3,12,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.38287339995719183, 39.485706374097916], ""type"": ""Point""}","39.485706374097916, -0.38287339995719183",La Saidia
Luís Peixó 20,108,T,8,7,15,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3339152679031098, 39.47382619077011], ""type"": ""Point""}","39.47382619077011, -0.3339152679031098",Poblats Maritims
Av. Campanar (La Fe),146,T,2,24,26,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3909524281114989, 39.48511037548845], ""type"": ""Point""}","39.48511037548845, -0.3909524281114989",Campanar
C/Xàtiva 30-32,148,T,20,15,35,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3753782937388751, 39.46714522461298], ""type"": ""Point""}","39.46714522461298, -0.3753782937388751",l'Eixample
Pío XII - Campanar,172,T,3,17,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3933454386575609, 39.48146236504626], ""type"": ""Point""}","39.48146236504626, -0.3933454386575609",Campanar
Reig Genovés - Ramón Contreras Mongrell,178,T,17,3,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3705063522665271, 39.49221639017785], ""type"": ""Point""}","39.49221639017785, -0.3705063522665271",Rascanya
Doctor Waksman - Nieves,180,T,9,11,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3706833820688013, 39.45602126922772], ""type"": ""Point""}","39.45602126922772, -0.3706833820688013",Quatre Carreres
Bombero Ramón Duart - Hermanos Maristas,184,T,10,5,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.36557036636455215, 39.45278225629358], ""type"": ""Point""}","39.45278225629358, -0.36557036636455215",Quatre Carreres
Alfambra - Poeta Monmeneu,133,T,6,9,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.37588237827023757, 39.48275636079257], ""type"": ""Point""}","39.48275636079257, -0.37588237827023757",La Saidia
Alfahuir - José Chabas Bordehore,126,T,12,8,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.36010431604895277, 39.49309838788837], ""type"": ""Point""}","39.49309838788837, -0.36010431604895277",Rascanya
Beato Nicolás Factor - Convento de Jesús,199,T,3,12,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.39155844823975844, 39.46158829801141], ""type"": ""Point""}","39.46158829801141, -0.39155844823975844",Patraix
Paseo Neptuno 32-34,163,T,20,0,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3234012136184579, 39.46443727525528], ""type"": ""Point""}","39.46443727525528, -0.3234012136184579",Poblats Maritims
Estación AVE Joaquín Sorolla,194,T,13,27,40,T,16/06/2023 16:09:04,"{""coordinates"": [-0.38097441235847007, 39.461018290993636], ""type"": ""Point""}","39.461018290993636, -0.38097441235847007",Extramurs
Jerónimo Muñoz - Gaspar Aguilar,196,T,10,5,15,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3880664379854734, 39.45957528956863], ""type"": ""Point""}","39.45957528956863, -0.3880664379854734",Jesus
Av. del Cid - Julián Peña,200,T,2,13,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3932144497376184, 39.467737319045916], ""type"": ""Point""}","39.467737319045916, -0.3932144497376184",l'Olivereta
Fray Junípero Serra - Vall d'Uixó,211,T,9,6,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3977574716661004, 39.45872629171394], ""type"": ""Point""}","39.45872629171394, -0.3977574716661004",Patraix
Valle de la Ballestera - Hospital Nueve de Octubre,223,T,3,17,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.4011874677803583, 39.47855835893999], ""type"": ""Point""}","39.47855835893999, -0.4011874677803583",Campanar
Tres Forques - Colonia Española de Mexico,262,T,2,18,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.40922550688289966, 39.463472312903384], ""type"": ""Point""}","39.463472312903384, -0.40922550688289966",l'Olivereta
Pio IX - Músico Cabanilles,259,T,17,2,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3930154660803912, 39.44546024514969], ""type"": ""Point""}","39.44546024514969, -0.3930154660803912",Jesus
San Clemente - Hospital Arnau de Vilanova,227,T,10,10,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.40293146422681364, 39.49024839844318], ""type"": ""Point""}","39.49024839844318, -0.40293146422681364",Campanar
Alcañiz - Cambrils,231,T,4,11,15,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3786213772644184, 39.49507240298451], ""type"": ""Point""}","39.49507240298451, -0.3786213772644184",Rascanya
Arquitecto Segura del Lago - Camino Nuevo de Picaña,251,T,15,0,15,T,16/06/2023 16:09:04,"{""coordinates"": [-0.4044134972721287, 39.45583028505104], ""type"": ""Point""}","39.45583028505104, -0.4044134972721287",Patraix
Poeta Serrano Clavero - General Llorens,230,T,2,13,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.38678440634001116, 39.49475040560395], ""type"": ""Point""}","39.49475040560395, -0.38678440634001116",Benicalap
Tres Cruces - Hospital General,246,T,2,17,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.4065094941412157, 39.469090330003425], ""type"": ""Point""}","39.469090330003425, -0.4065094941412157",l'Olivereta
Doctor Tomás Sala - Carteros,254,T,19,0,19,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3899174536874086, 39.447714251158565], ""type"": ""Point""}","39.447714251158565, -0.3899174536874086",Jesus
Nicasio Benlloch - Amics dels Corpus,205,T,20,4,24,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3930904323547156, 39.48928739053543], ""type"": ""Point""}","39.48928739053543, -0.3930904323547156",Benicalap
"Giorgeta, 64",207,T,9,6,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.381905420300487, 39.45539327294658], ""type"": ""Point""}","39.45539327294658, -0.381905420300487",Jesus
