Direccion,Numero,Activo,Bicis_disponibles,Espacios_libres,Espacios_totales,ticket,fecha_actualizacion,geo_shape,geo_point_2d,distritos
Jerónimo Monsoriu - Alcalde Cano Coloma,151,T,6,14,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.33711726031421224, 39.464669282422186], ""type"": ""Point""}","39.464669282422186, -0.33711726031421224",Camins al Grau
Ausias March - Av. de la Plata,183,T,8,10,18,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3722843899417025, 39.45262025913349], ""type"": ""Point""}","39.45262025913349, -0.3722843899417025",Quatre Carreres
Ebanista Caselles - Ausias March,185,T,8,7,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3705033850186671, 39.45004424948915], ""type"": ""Point""}","39.45004424948915, -0.3705033850186671",Quatre Carreres
Marino Blas de Lezo (estación Cabañal Adif),101,T,9,21,30,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3343612466069016, 39.47006829907817], ""type"": ""Point""}","39.47006829907817, -0.3343612466069016",Poblats Maritims
Naranjos - Ingeniero Fausto Elio,109,T,3,17,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3335102388084858, 39.4768193210939], ""type"": ""Point""}","39.4768193210939, -0.3335102388084858",Algiros
Constitución - Reus,135,T,7,13,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.37850138478156414, 39.48570237196362], ""type"": ""Point""}","39.48570237196362, -0.37850138478156414",La Saidia
San Pancracio - Periodista Llorente,138,T,13,7,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.38422240207482833, 39.48819038284581], ""type"": ""Point""}","39.48819038284581, -0.38422240207482833",La Saidia
Pio XII - Menéndez PIdal (Nuevo Centro),143,T,25,5,30,T,16/06/2023 16:09:04,"{""coordinates"": [-0.39093643241708165, 39.4795373575288], ""type"": ""Point""}","39.4795373575288, -0.39093643241708165",Campanar
Marqués de San Juan - Diputat Lluís Lucía,144,T,6,9,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.39548044804080085, 39.4787793569025], ""type"": ""Point""}","39.4787793569025, -0.39548044804080085",Campanar
Pie de la Cruz - Rejas,147,T,0,14,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3802074001545322, 39.47320133107913], ""type"": ""Point""}","39.47320133107913, -0.3802074001545322",Ciutat Vella
Peris y Valero - Salamanca,149,T,2,18,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.36179534600499663, 39.462934287947085], ""type"": ""Point""}","39.462934287947085, -0.36179534600499663",l'Eixample
Cno. Moncada - Pedro Patricio Mey,176,T,8,12,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.378853381402734, 39.49201739310727], ""type"": ""Point""}","39.49201739310727, -0.378853381402734",Rascanya
Cra. Malilla - Bulevar Sur,190,T,11,7,18,T,16/06/2023 16:09:04,"{""coordinates"": [-0.38029642271654757, 39.44608224133691], ""type"": ""Point""}","39.44608224133691, -0.38029642271654757",Quatre Carreres
Cra. Malilla - Oltá,192,T,20,0,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3787144113919625, 39.45263726161547], ""type"": ""Point""}","39.45263726161547, -0.3787144113919625",Quatre Carreres
