id;Empresa;objectid;zona;ubicacion;distrito;barrio;geo_shape;geo_point_2d
191;FUNDACION JOSÉ MARÍA HARO-INTRA;2388;2;C/ VICENT VIDAL (CRONISTA) - C/ VICENTE BELTRAN GRIMAL (ESCULTOR);12;123;"{""coordinates"": [-0.34860526897598143, 39.46152976939106], ""type"": ""Point""}";39.46152976939106, -0.34860526897598143
192;FUNDACION JOSÉ MARÍA HARO-INTRA;2389;2;C/ SANTS JUST I PASTORS - C/ JOSE MARIA HARO (MAGISTRAT);13;131;"{""coordinates"": [-0.33961178899960515, 39.4673109876163], ""type"": ""Point""}";39.4673109876163, -0.33961178899960515
193;FUNDACION JOSÉ MARÍA HARO-INTRA;2390;1;CTRA RIU, 300;19;193;"{""coordinates"": [-0.34065526241928906, 39.422248838314474], ""type"": ""Point""}";39.422248838314474, -0.34065526241928906
194;FUNDACION JOSÉ MARÍA HARO-INTRA;2391;3;AV JESUS MORANTE BORRÀS, 135;10;106;"{""coordinates"": [-0.3439212640866052, 39.44477381026044], ""type"": ""Point""}";39.44477381026044, -0.3439212640866052
196;FUNDACION JOSÉ MARÍA HARO-INTRA;2393;3;C/ CAVITE - C/ MENDIZABAL;11;113;"{""coordinates"": [-0.3263955391090831, 39.48324830431556], ""type"": ""Point""}";39.48324830431556, -0.3263955391090831
198;FUNDACION JOSÉ MARÍA HARO-INTRA;2395;2;C/ MASSAMAGRELL, 1;17;171;"{""coordinates"": [-0.38531630272820605, 39.528629443966636], ""type"": ""Point""}";39.528629443966636, -0.38531630272820605
199;FUNDACION JOSÉ MARÍA HARO-INTRA;2396;2;CAMI CASES DE BÀRCENA, 46;17;174;"{""coordinates"": [-0.35934627723925067, 39.5195626765811], ""type"": ""Point""}";39.5195626765811, -0.35934627723925067
201;ASOCIACION LA CASA GRANDE;2398;3;AV ALCALDE GISBERT RICO, 22 - C/ ESCRIPTOR RAFAEL FERRERES;10;107;"{""coordinates"": [-0.36084928139329003, 39.45543265768002], ""type"": ""Point""}";39.45543265768002, -0.36084928139329003
202;ASOCIACION LA CASA GRANDE;2399;2;AV BALEARES - C/ NOGUERA;12;125;"{""coordinates"": [-0.3425968422832692, 39.45971396450913], ""type"": ""Point""}";39.45971396450913, -0.3425968422832692
203;ASOCIACION LA CASA GRANDE;2400;2;AV BURJASSOT, 196 acc;16;161;"{""coordinates"": [-0.3939540675622408, 39.49302564093439], ""type"": ""Point""}";39.49302564093439, -0.3939540675622408
204;ASOCIACION LA CASA GRANDE;2401;3;AV MALVA-ROSA - AV TARONGERS;11;113;"{""coordinates"": [-0.3275950608301747, 39.4750101921198], ""type"": ""Point""}";39.4750101921198, -0.3275950608301747
206;ASOCIACION LA CASA GRANDE;2403;1;AV GAVINES - C/ CABRESTANT;19;196;"{""coordinates"": [-0.2960792214410033, 39.30662323673685], ""type"": ""Point""}";39.30662323673685, -0.2960792214410033
210;ASOCIACION LA CASA GRANDE;2407;2;AV PORT - C/ ACTOR LLORENS;12;122;"{""coordinates"": [-0.3555252387296525, 39.46682981076295], ""type"": ""Point""}";39.46682981076295, -0.3555252387296525
211;ASOCIACION LA CASA GRANDE;2408;1;AV REAL DE MADRID, 139;19;197;"{""coordinates"": [-0.39370931299077494, 39.427442360027506], ""type"": ""Point""}";39.427442360027506, -0.39370931299077494
212;ASOCIACION LA CASA GRANDE;2409;1;AV REGNE DE VALÈNCIA, 60;2;021;"{""coordinates"": [-0.36621856802551606, 39.463247769153945], ""type"": ""Point""}";39.463247769153945, -0.36621856802551606
213;ASOCIACION LA CASA GRANDE;2410;2;C/ ALBORAIA, 62;5;053;"{""coordinates"": [-0.3684850711560033, 39.48589674933346], ""type"": ""Point""}";39.48589674933346, -0.3684850711560033
214;ASOCIACION LA CASA GRANDE;2411;2;C/ ALQUERIA CREMADA - C/ ARQUITECTE TOLSA;15;151;"{""coordinates"": [-0.3684892865322936, 39.494252592226935], ""type"": ""Point""}";39.494252592226935, -0.3684892865322936
261;ASOCIACION EL RASTRELL;2412;2;C/ SERPIS, 38;13;132;"{""coordinates"": [-0.3459781278296655, 39.47518207461585], ""type"": ""Point""}";39.47518207461585, -0.3459781278296655
263;ASOCIACION EL RASTRELL;2414;2;C/ PERE DE VALÈNCIA - C/ SERRADORA;13;131;"{""coordinates"": [-0.33515911216077426, 39.46846976158314], ""type"": ""Point""}";39.46846976158314, -0.33515911216077426
240;ASOCIACION LA CASA GRANDE;2416;3;C/ OLTÀ, 50;10;103;"{""coordinates"": [-0.37547667512161287, 39.45255061681714], ""type"": ""Point""}";39.45255061681714, -0.37547667512161287
245;ASOCIACION LA CASA GRANDE;2421;2;C/ RIU ESCALONA - C/ ASTÚRIES;12;125;"{""coordinates"": [-0.35384185866264134, 39.464236677707916], ""type"": ""Point""}";39.464236677707916, -0.35384185866264134
246;ASOCIACION LA CASA GRANDE;2422;2;C/ SAGUNT, 1;5;052;"{""coordinates"": [-0.37502306685856646, 39.48180597939969], ""type"": ""Point""}";39.48180597939969, -0.37502306685856646
248;ASOCIACION LA CASA GRANDE;2424;1;C/ SANT VICENT MARTIR, 148;3;034;"{""coordinates"": [-0.38241848521237537, 39.46235255810445], ""type"": ""Point""}";39.46235255810445, -0.38241848521237537
249;ASOCIACION LA CASA GRANDE;2425;1;C/ VENEÇUELA - C/ CARTERS;9;091;"{""coordinates"": [-0.38732615446406027, 39.45495843503538], ""type"": ""Point""}";39.45495843503538, -0.38732615446406027
251;ASOCIACION EL RASTRELL;2427;3;AV PLATA, 3;10;102;"{""coordinates"": [-0.37211711760192123, 39.45311621311598], ""type"": ""Point""}";39.45311621311598, -0.37211711760192123
252;ASOCIACION EL RASTRELL;2428;3;CTRA MALILLA, 104;10;103;"{""coordinates"": [-0.380296924915312, 39.44640583009056], ""type"": ""Point""}";39.44640583009056, -0.380296924915312
258;ASOCIACION EL RASTRELL;2434;3;PL ARAS DE LOS OLMOS, 4;11;115;"{""coordinates"": [-0.33324672271914196, 39.44849763576921], ""type"": ""Point""}";39.44849763576921, -0.33324672271914196
260;ASOCIACION EL RASTRELL;2436;2;AV PORT - C/ DAMA D'ELX;12;123;"{""coordinates"": [-0.34271170958532393, 39.46285110741915], ""type"": ""Point""}";39.46285110741915, -0.34271170958532393
264;ASOCIACION EL RASTRELL;2437;2;C/ GUILLERMINA MEDRANO (PRIMERA DONA REGIDORA), 13;17;177;"{""coordinates"": [-0.3884077137630632, 39.51499471128693], ""type"": ""Point""}";39.51499471128693, -0.3884077137630632
270;ASOCIACION EL RASTRELL;2443;1;C/ SUECA - C/ CENTELLES;2;021;"{""coordinates"": [-0.3734592927745404, 39.459022543881794], ""type"": ""Point""}";39.459022543881794, -0.3734592927745404
271;ASOCIACION EL RASTRELL;2444;1;C/ HERNÁN CORTÉS - GV MARQUÉS DEL TÚRIA;2;022;"{""coordinates"": [-0.3703592904539207, 39.46668257280296], ""type"": ""Point""}";39.46668257280296, -0.3703592904539207
273;ASOCIACION EL RASTRELL;2446;1;C/ MESTRE SOSA - C/ JESÚS;3;034;"{""coordinates"": [-0.38635831523821657, 39.46260975019285], ""type"": ""Point""}";39.46260975019285, -0.38635831523821657
276;ASOCIACION EL RASTRELL;2449;1;C/ BURGOS - C/ PINTOR SOLTZ;7;071;"{""coordinates"": [-0.399298827678355, 39.46948331488266], ""type"": ""Point""}";39.46948331488266, -0.399298827678355
282;ASOCIACION EL RASTRELL;2455;1;C/ SANT VICENT MARTIR - AV DOCTOR TOMÀS SALA;9;094;"{""coordinates"": [-0.3868404307779278, 39.44686371031484], ""type"": ""Point""}";39.44686371031484, -0.3868404307779278
285;ASOCIACION EL RASTRELL;2458;2;AV CAMPANAR, 37;4;041;"{""coordinates"": [-0.3935993113363697, 39.479722365136624], ""type"": ""Point""}";39.479722365136624, -0.3935993113363697
287;ASOCIACION EL RASTRELL;2460;2;C/ POETA SERRANO CLAVER, 22;16;161;"{""coordinates"": [-0.3891793069612759, 39.49196240607305], ""type"": ""Point""}";39.49196240607305, -0.3891793069612759
289;ASOCIACION EL RASTRELL;2462;2;AV GENERAL AVILES, 32;16;161;"{""coordinates"": [-0.39439931241835163, 39.48683235886237], ""type"": ""Point""}";39.48683235886237, -0.39439931241835163
290;ASOCIACION EL RASTRELL;2463;2;C/ REIG GENOVÉS, 40;15;151;"{""coordinates"": [-0.36970928861181435, 39.49159258072871], ""type"": ""Point""}";39.49159258072871, -0.36970928861181435
295;ASOCIACION EL RASTRELL;2468;2;C/ POETA BODRIA, 10;5;053;"{""coordinates"": [-0.3725137565097921, 39.481232518586616], ""type"": ""Point""}";39.481232518586616, -0.3725137565097921
298;ASOCIACION EL RASTRELL;2471;2;PL NELSON MANDELA;14;141;"{""coordinates"": [-0.35596767160162474, 39.47918785007447], ""type"": ""Point""}";39.47918785007447, -0.35596767160162474
238;ASOCIACION LA CASA GRANDE;2475;2;C/ MONESTIR DE POBLET, 34 acc;16;161;"{""coordinates"": [-0.39476931279650923, 39.48503235572078], ""type"": ""Point""}";39.48503235572078, -0.39476931279650923
216;ASOCIACION LA CASA GRANDE;2476;1;C/ ARXIDUC CARLES - C/ MUSIC GOMIS;8;084;"{""coordinates"": [-0.40079551540734987, 39.45941760055593], ""type"": ""Point""}";39.45941760055593, -0.40079551540734987
222;ASOCIACION LA CASA GRANDE;2482;1;C/ DEMOCRÀCIA, 85;7;072;"{""coordinates"": [-0.4056839984974878, 39.4723889920661], ""type"": ""Point""}";39.4723889920661, -0.4056839984974878
225;ASOCIACION LA CASA GRANDE;2485;2;C/ ÈOL  - C/ HORT DE VEIRAT;6;062;"{""coordinates"": [-0.35656166951369694, 39.47114213957967], ""type"": ""Point""}";39.47114213957967, -0.35656166951369694
232;ASOCIACION LA CASA GRANDE;2492;3;C/ JOAN VERDEGUER - C/ BELLO;11;111;"{""coordinates"": [-0.33552147534703486, 39.45893275339905], ""type"": ""Point""}";39.45893275339905, -0.33552147534703486
174;FUNDACION JOSÉ MARÍA HARO-INTRA;2503;2;AV EQUADOR - C/ SALVADOR TUSSET;16;161;"{""coordinates"": [-0.39318031070131504, 39.496262370230355], ""type"": ""Point""}";39.496262370230355, -0.39318031070131504
176;FUNDACION JOSÉ MARÍA HARO-INTRA;2505;2;C/ MESTRE MARÇAL - C/ ALCUDIA DE CRESPINS;15;152;"{""coordinates"": [-0.3739852929594265, 39.49414854262591], ""type"": ""Point""}";39.49414854262591, -0.3739852929594265
178;FUNDACION JOSÉ MARÍA HARO-INTRA;2507;2;CAMI MONTCADA - C/ ESCULTOR PIQUER;15;152;"{""coordinates"": [-0.3787132973328288, 39.491537499449706], ""type"": ""Point""}";39.491537499449706, -0.3787132973328288
180;FUNDACION JOSÉ MARÍA HARO-INTRA;2509;2;C/ BENICARLO - C/ ALFAHUIR;14;141;"{""coordinates"": [-0.367273632077746, 39.488405959552374], ""type"": ""Point""}";39.488405959552374, -0.367273632077746
181;FUNDACION JOSÉ MARÍA HARO-INTRA;2510;2;C/ FRAY PERE VIVES - C/ BILBAO;5;055;"{""coordinates"": [-0.3728094687346087, 39.4868537320107], ""type"": ""Point""}";39.4868537320107, -0.3728094687346087
188;FUNDACION JOSÉ MARÍA HARO-INTRA;2517;2;C/ DOCTOR MANUEL CANDELA - C/ POETA MAS I ROS;13;132;"{""coordinates"": [-0.3489450644442617, 39.47079882856132], ""type"": ""Point""}";39.47079882856132, -0.3489450644442617
2;FUNDACION JOSÉ MARÍA HARO-INTRA;2521;1;AVD. OEST - C/ QUEVEDO;1;016;"{""coordinates"": [-0.37979656339369705, 39.4704188760755], ""type"": ""Point""}";39.4704188760755, -0.37979656339369705
3;FUNDACION JOSÉ MARÍA HARO-INTRA;2522;1;C/ CONSOLAT DE MAR, 2;2;021;"{""coordinates"": [-0.37164168295697336, 39.46294679066975], ""type"": ""Point""}";39.46294679066975, -0.37164168295697336
5;FUNDACION JOSÉ MARÍA HARO-INTRA;2524;3;C/ ÒSCAR ESPLÀ (MÚSIC), 1 acc - AV PLATA;10;105;"{""coordinates"": [-0.3613059840070723, 39.457358857325524], ""type"": ""Point""}";39.457358857325524, -0.3613059840070723
6;FUNDACION JOSÉ MARÍA HARO-INTRA;2525;3;C/ DOCTOR VICENTE ZARAGOZÁ - C/ DOLORES MARQUÉS;5;053;"{""coordinates"": [-0.3636728898995156, 39.48530624926977], ""type"": ""Point""}";39.48530624926977, -0.3636728898995156
8;FUNDACION JOSÉ MARÍA HARO-INTRA;2527;1;AVD. GUILLEM DE CASTRO - C./ CORONA (JUNT QUIOSC);1;013;"{""coordinates"": [-0.3835909701537824, 39.47809897040282], ""type"": ""Point""}";39.47809897040282, -0.3835909701537824
9;FUNDACION JOSÉ MARÍA HARO-INTRA;2528;1;PL ROMA - C/ BURGOS;7;071;"{""coordinates"": [-0.39873143248297, 39.47079038584803], ""type"": ""Point""}";39.47079038584803, -0.39873143248297
16;FUNDACION JOSÉ MARÍA HARO-INTRA;2535;2;PL SARAGOSSA;6;062;"{""coordinates"": [-0.36006272090788327, 39.46887337455988], ""type"": ""Point""}";39.46887337455988, -0.36006272090788327
18;FUNDACION JOSÉ MARÍA HARO-INTRA;2537;2;AV VALLADOLID, 4;15;153;"{""coordinates"": [-0.36284508855097447, 39.489674729845404], ""type"": ""Point""}";39.489674729845404, -0.36284508855097447
19;FUNDACION JOSÉ MARÍA HARO-INTRA;2538;1;C/ ESCULTOR VICENTE RODILLA - C/ FRANCO TORMO;8;081;"{""coordinates"": [-0.39039144241220336, 39.45819825489952], ""type"": ""Point""}";39.45819825489952, -0.39039144241220336
22;FUNDACION JOSÉ MARÍA HARO-INTRA;2541;3;C/ BENISSODA, 19;11;114;"{""coordinates"": [-0.33448194116067226, 39.47191992987005], ""type"": ""Point""}";39.47191992987005, -0.33448194116067226
23;FUNDACION JOSÉ MARÍA HARO-INTRA;2542;2;C/ ILLES CANÀRIES, 90;12;123;"{""coordinates"": [-0.3485074621627529, 39.46433113928], ""type"": ""Point""}";39.46433113928, -0.3485074621627529
24;FUNDACION JOSÉ MARÍA HARO-INTRA;2543;2;C/ RAMIRO DE MAEZTU - C/ LLEONS;12;121;"{""coordinates"": [-0.34776701673754307, 39.467478451224814], ""type"": ""Point""}";39.467478451224814, -0.34776701673754307
27;ASOCIACION LA CASA GRANDE;2546;1;C/ MESTRE AGUILAR, 10;2;021;"{""coordinates"": [-0.37017631801290535, 39.46112088968818], ""type"": ""Point""}";39.46112088968818, -0.37017631801290535
28;ASOCIACION LA CASA GRANDE;2547;1;PL MANUEL GRANERO - C/ FILIPINES;2;021;"{""coordinates"": [-0.3765515203919259, 39.45848075840637], ""type"": ""Point""}";39.45848075840637, -0.3765515203919259
34;ASOCIACION LA CASA GRANDE;2553;2;C/ MIQUEL NAVARRO (ESCULTOR), 3;4;044;"{""coordinates"": [-0.40076960120010874, 39.480358317417455], ""type"": ""Point""}";39.480358317417455, -0.40076960120010874
37;ASOCIACION LA CASA GRANDE;2556;2;AV JOAN XXIII, 17;16;161;"{""coordinates"": [-0.3829022573732843, 39.49181285502934], ""type"": ""Point""}";39.49181285502934, -0.3829022573732843
38;ASOCIACION LA CASA GRANDE;2557;2;C/ SANT DOMÉNEC SAVIO, 77;15;152;"{""coordinates"": [-0.3758987327361408, 39.497483572713996], ""type"": ""Point""}";39.497483572713996, -0.3758987327361408
39;ASOCIACION LA CASA GRANDE;2558;2;C/ DANIEL BALACIART - C/ EMILI PANACH I RAMOS;14;141;"{""coordinates"": [-0.3548504360515102, 39.48127702970386], ""type"": ""Point""}";39.48127702970386, -0.3548504360515102
