Id;Estacion;Fecha;Dia de la semana;Dia;Mes;Anyo;PM10;NO;NO2;O3;SO2
11668;Viveros;15/08/2012;Miercoles;15;8;2012;;1.0;16.0;53.0;5.0
33675;Politecnico;08/07/2020;Viernes;8;7;2020;15.0;2.0;12.0;60.0;3.0
11670;Avda. Francia;16/08/2012;Jueves;16;8;2012;15.0;3.0;7.0;53.0;2.0
33685;Viveros;08/08/2020;Sabado;8;8;2020;;3.0;18.0;66.0;3.0
11673;Pista Silla;16/08/2012;Jueves;16;8;2012;36.0;9.0;22.0;47.0;4.0
11675;Viveros;16/08/2012;Jueves;16;8;2012;;3.0;11.0;61.0;4.0
11677;Avda. Francia;17/08/2012;Viernes;17;8;2012;19.0;2.0;8.0;60.0;3.0
33689;Avda. Francia;08/09/2020;Domingo;8;9;2020;6.0;1.0;9.0;74.0;3.0
11681;Politecnico;17/08/2012;Viernes;17;8;2012;32.0;3.0;12.0;73.0;1.0
33702;Politecnico;08/10/2020;Lunes;8;10;2020;15.0;3.0;11.0;66.0;3.0
11682;Viveros;17/08/2012;Viernes;17;8;2012;;1.0;7.0;63.0;4.0
11687;Pista Silla;18/08/2012;Sabado;18;8;2012;44.0;4.0;16.0;44.0;5.0
33709;Moli del Sol;08/11/2020;Martes;8;11;2020;9.0;2.0;10.0;57.0;3.0
33711;Politecnico;08/11/2020;Martes;8;11;2020;15.0;1.0;8.0;62.0;3.0
11701;Pista Silla;20/08/2012;Lunes;20;8;2012;40.0;11.0;29.0;37.0;6.0
33721;Viveros;08/12/2020;Miercoles;8;12;2020;25.0;3.0;18.0;76.0;3.0
11702;Politecnico;20/08/2012;Lunes;20;8;2012;29.0;3.0;16.0;73.0;1.0
11703;Viveros;20/08/2012;Lunes;20;8;2012;29.0;5.0;22.0;52.0;4.0
33725;Avda. Francia;13/08/2020;Jueves;13;8;2020;17.0;3.0;16.0;68.0;3.0
33728;Pista Silla;13/08/2020;Jueves;13;8;2020;21.0;8.0;26.0;;5.0
11709;Politecnico;21/08/2012;Martes;21;8;2012;34.0;5.0;22.0;74.0;1.0
11715;Pista Silla;22/08/2012;Miercoles;22;8;2012;50.0;4.0;18.0;58.0;4.0
11716;Politecnico;22/08/2012;Miercoles;22;8;2012;34.0;2.0;16.0;77.0;0.0
33737;Pista Silla;14/08/2020;Viernes;14;8;2020;18.0;5.0;20.0;;6.0
11719;Avda. Francia;23/08/2012;Jueves;23;8;2012;25.0;;;67.0;
33739;Viveros;14/08/2020;Viernes;14;8;2020;28.0;2.0;9.0;74.0;3.0
11722;Pista Silla;23/08/2012;Jueves;23;8;2012;53.0;6.0;20.0;66.0;6.0
33743;Avda. Francia;15/08/2020;Sabado;15;8;2020;12.0;1.0;9.0;68.0;3.0
11730;Politecnico;24/08/2012;Viernes;24;8;2012;44.0;2.0;6.0;81.0;2.0
11733;Avda. Francia;25/08/2012;Sabado;25;8;2012;18.0;6.0;13.0;61.0;3.0
33752;Avda. Francia;16/08/2020;Domingo;16;8;2020;11.0;2.0;14.0;64.0;3.0
33754;Moli del Sol;16/08/2020;Domingo;16;8;2020;8.0;1.0;6.0;63.0;3.0
33755;Pista Silla;16/08/2020;Domingo;16;8;2020;12.0;3.0;17.0;;6.0
11740;Avda. Francia;26/08/2012;Domingo;26;8;2012;14.0;6.0;13.0;57.0;5.0
33766;Viveros;17/08/2020;Lunes;17;8;2020;24.0;4.0;17.0;76.0;4.0
11743;Pista Silla;26/08/2012;Domingo;26;8;2012;34.0;4.0;17.0;53.0;6.0
11749;Moli del Sol;27/08/2012;Lunes;27;8;2012;49.0;7.0;15.0;55.0;2.0
11757;Pista Silla;28/08/2012;Martes;28;8;2012;43.0;10.0;20.0;48.0;5.0
11759;Viveros;28/08/2012;Martes;28;8;2012;17.0;3.0;13.0;69.0;2.0
33782;Pista Silla;19/08/2020;Miercoles;19;8;2020;13.0;8.0;28.0;;5.0
11763;Moli del Sol;29/08/2012;Miercoles;29;8;2012;34.0;2.0;22.0;58.0;2.0
