Tipus / Tipo;Centre / Centro;Adreça / Direccion;Districte / Distrito;Barri / Barrio;Piles / Pilas;objectid;linkid;Zona;Observació / Observación;Codi / Código;geo_shape;geo_point_2d
04-CENTRO EDUCATIVO;CEIP TEODORO LLORENTE;C/. JOAN LLORENS, 59;3;033;1;446;;;;ED10;"{""coordinates"": [-0.3886987513604109, 39.47008656414739], ""type"": ""Point""}";39.47008656414739, -0.3886987513604109
09-UNIVERSIDAD POPULAR;UP ALGIROS;C/. MÃ¿SIC GINÃ¿S, 21;13;132;1;448;;;;UP08;"{""coordinates"": [-0.3433210071242905, 39.47065248220579], ""type"": ""Point""}";39.47065248220579, -0.3433210071242905
03-ASOCIACION VECINOS;"ASOCIACION DE VECINOS ""PATRAIX""";PL. PATRAIX, 13;8;081;1;451;;;;AV04;"{""coordinates"": [-0.3924325530631924, 39.46319466365763], ""type"": ""Point""}";39.46319466365763, -0.3924325530631924
04-CENTRO EDUCATIVO;ESCUELAS SAN JOSI-JESUITAS;AV. CORTS VALENCIANES, 1;4;044;1;452;;;;ED49;"{""coordinates"": [-0.3974688090677516, 39.48688130271812], ""type"": ""Point""}";39.48688130271812, -0.3974688090677516
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""FUENTE DE SAN LUIS""";C/. SEVERIANO GOIG, S/N;10;105;1;453;;;;MA36;"{""coordinates"": [-0.3634029826765563, 39.4547338320675], ""type"": ""Point""}";39.4547338320675, -0.3634029826765563
08-VARIOS;TEATRE EL MUSICAL;PL. ROSARI, 3;11;112;1;456;;;;VA05;"{""coordinates"": [-0.3321323475072658, 39.4646140141827], ""type"": ""Point""}";39.4646140141827, -0.3321323475072658
04-CENTRO EDUCATIVO;CEIP L'AMISTAT;C/. SÃ¿NECA, 13;13;133;1;457;;;;ED29;"{""coordinates"": [-0.35035214295021505, 39.47217872898532], ""type"": ""Point""}";39.47217872898532, -0.35035214295021505
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""MARCHALENES""";AV. PORTUGAL, 12;5;054;1;462;;;;MA23;"{""coordinates"": [-0.37836046793729494, 39.4880709602642], ""type"": ""Point""}";39.4880709602642, -0.37836046793729494
04-CENTRO EDUCATIVO;COLEGIO ESCUELAS PIAS MALVARROSA;C/. GRAN CANÃ¿RIA, 1;11;113;1;464;;;;ED53;"{""coordinates"": [-0.3295804484119943, 39.4821043955224], ""type"": ""Point""}";39.4821043955224, -0.3295804484119943
09-UNIVERSIDAD POPULAR;UP CIUTAT VELLA;C/. SANT MIQUEL, 14;1;013;1;313;;;;UP01;"{""coordinates"": [-0.3801989288056866, 39.47684130567435], ""type"": ""Point""}";39.47684130567435, -0.3801989288056866
